S.NO,REG#,Quiz Marks (Out of 10),Mid Marks  (Out of 40),Total Marks ,%,Section
1,2025360,8.5,39,47.5,95.00%,A
2,2025090,9.5,36.5,46,92.00%,A
3,2025101,10,36,46,92.00%,A
4,2025481,10,36,46,92.00%,A
5,2025129,7,38.5,45.5,91.00%,A
6,2025306,7.3,36,43.3,86.50%,A
7,2025009,8,35,43,86.00%,A
8,2025584,7.5,35.5,43,86.00%,A
9,2025331,8,34.5,42.5,85.00%,A
10,2025460,10,32.5,42.5,85.00%,A
11,2025060,8.5,33,41.5,83.00%,A
12,2025339,4.5,37,41.5,83.00%,A
13,2025374,9,32,41,82.00%,A
14,2025886,7.5,33.5,41,82.00%,A
15,2025336,6,34.5,40.5,81.00%,A
16,2025156,5.3,35,40.3,80.50%,A
17,2025845,7.3,33,40.3,80.50%,A
18,2025516,5,35,40,80.00%,A
19,2025475,7,32.5,39.5,79.00%,A
20,2025708,5.5,34,39.5,79.00%,A
21,2025689,8.8,30.5,39.3,78.50%,A
22,2025701,6.8,32.5,39.3,78.50%,A
23,2025301,8.8,30,38.8,77.50%,A
24,2025443,6.5,32,38.5,77.00%,A
25,2025553,3,35.5,38.5,77.00%,A
26,2025435,3.8,34.5,38.3,76.50%,A
27,2025647,7.3,31,38.3,76.50%,A
28,2025214,5.5,32.5,38,76.00%,A
29,2025583,7.8,30,37.8,75.50%,A
30,2025005,6,31.5,37.5,75.00%,A
31,2025777,5.5,32,37.5,75.00%,A
32,2025627,7,30,37,74.00%,A
33,2025557,5.8,30.5,36.3,72.50%,A
34,2025710,5.8,30,35.8,71.50%,A
35,2025801,4.8,31,35.8,71.50%,A
36,2025014,8.3,27,35.3,70.50%,A
37,2025025,4.8,30.5,35.3,70.50%,A
38,2025459,7.8,27,34.8,69.50%,A
39,2025446,4,30,34,68.00%,A
40,2025076,4.5,29,33.5,67.00%,A
41,2025490,4,29.5,33.5,67.00%,A
42,2025543,6,27.5,33.5,67.00%,A
43,2025605,5.8,27.5,33.3,66.50%,A
44,2025879,6.3,27,33.3,66.50%,A
45,2025919,2.8,30.5,33.3,66.50%,A
46,2025166,7,26,33,66.00%,A
47,2025909,6,26.5,32.5,65.00%,A
